raw_word;naive_trans;spec_trans;
truss - трусс; en - трусс
shirt - ширт; en - ширт
pullover - пулловер; en - пульловер
unisexe - унисехе; en - юнизекс
parka - парка; en - парка
trench - тренч; en - тренч
parka - парка; en - парка
barret - баррет; en - баррет
bello - белло; fra - белло
rimini - римини; fra - римини
clutch - cлутч; en - клутч
ralph - ралф; en - ральф
sonia - сониа; en - сониа
chinos - чинос; en - чинос
maxmara - махмара; en - максмейра
polo - поло; fra - поло
dolche - долче; en - дольч
stone - стоне; en - стон
parfum - парфум; en - парфюм
shopper - шоппер; en - шоппер
stuart - стуарт; en - стуарт
marta - марта; en - марта
textile - техтиле; en - текстил
barret - баррет; en - баррет
teddy - тедди; en - тедди
safari - сафари; fra - сафари
alexander - алехандер; en - александер
barret - баррет; en - баррет
elema - элема; en - элема
isosoft - исософт; en - изозофт
kors - корс; en - корс
blackglama - блакглама; en - блэкглейма
elema - элема; en - элема
malinardi - малинарди; en - мейлинарди
blackglama - блакглама; en - блэкглейма
gamma - гамма; en - гамма
shopper - шоппер; en - шоппер
polyester - полиестер; en - полиестер
mocca - моccа; fra - мокка
zilli - зилли; fra - зилли
ananas - ананас; en - анейнас
levis - левис; en - левис
sonia - сониа; en - сониа
polyamide - полямиде; en - полямид
levis - левис; en - левис
nubuck - нубук; en - нюбук
liverpool - ливерпоол; en - ливерпуль
burgundy - бургунди; en - бургунди
rubin - рубин; en - рюбин
aviator - авиатор; en - авиатор
riema - риема; en - рима
ballerina - баллерина; fra - баллерина
barbie - барбие; en - барбай
emilie - эмилие; en - эмилай
surprise - сурприсе; en - сурприз
melange - меланге; en - меландж
alexa - алеха; en - алекса
gusto - густо; en - густо
kuoma - куома; en - куома
flamingo - фламинго; en - флейминго
chikago - чикаго; en - чикейго
microfibre - миcрофибре; en - микрофибр
spencer - спенcер; en - спенсер
chicco - чиccо; fra - шикко
lola - лола; fra - лола
patch - патч; en - патч
bogner - богнер; en - богнер
born - борн; en - борн
shopper - шоппер; en - шоппер
vitamin - витамин; en - витеймин
teflon - тефлон; en - тефлон
libera - либера; fra - либера
vitamin - витамин; en - витеймин
cactus - cаcтус; en - кактус
polyester - полиестер; en - полиестер
polyamide - полямиде; en - полямид
paradise - парадисе; fra - парадиз
simone - симоне; fra - симон
sneakers - снеакерс; en - сникерс
